secid,date,cusip,ticker,sic,index_flag,exchange_d,class,issue_type,industry_group,low,high,open,close,volume,return,cfadj,shrout,cfret
117801,20190102,12497K10,VIX,9999,1,32768,,A,,23.05,28.53,27.54,23.22,0,-0.086546,1,0,1
117801,20190103,12497K10,VIX,9999,1,32768,,A,,24.05,26.6,25.68,25.45,0,0.096038,1,0,1
117801,20190104,12497K10,VIX,9999,1,32768,,A,,21.19,24.48,24.36,21.38,0,-0.159921,1,0,1
117801,20190107,12497K10,VIX,9999,1,32768,,A,,20.91,22.71,22.06,21.4,0,0.000935,1,0,1
117801,20190108,12497K10,VIX,9999,1,32768,,A,,20.09,22.03,20.96,20.47,0,-0.043458,1,0,1
117801,20190109,12497K10,VIX,9999,1,32768,,A,,19.48,22.8,20.44,19.98,0,-0.023937,1,0,1
117801,20190110,12497K10,VIX,9999,1,32768,,A,,19.29,21.32,20.98,19.5,0,-0.024024,1,0,1
117801,20190111,12497K10,VIX,9999,1,32768,,A,,18.12,20.16,19.68,18.19,0,-0.067179,1,0,1
117801,20190114,12497K10,VIX,9999,1,32768,,A,,18.7,20.27,19.84,19.07,0,0.048378,1,0,1
117801,20190115,12497K10,VIX,9999,1,32768,,A,,17.98,19.2,18.53,18.6,0,-0.024646,1,0,1
117801,20190116,12497K10,VIX,9999,1,32768,,A,,17.76,19.04,18.08,19.04,0,0.023656,1,0,1
117801,20190117,12497K10,VIX,9999,1,32768,,A,,17.85,19.72,19.51,18.06,0,-0.051471,1,0,1
117801,20190118,12497K10,VIX,9999,1,32768,,A,,17.17,18.18,17.8,17.8,0,-0.014396,1,0,1
117801,20190122,12497K10,VIX,9999,1,32768,,A,,18.2,21.15,18.53,20.8,0,0.168539,1,0,1
117801,20190123,12497K10,VIX,9999,1,32768,,A,,19.47,22.02,20.85,19.52,0,-0.061538,1,0,1
117801,20190124,12497K10,VIX,9999,1,32768,,A,,18.63,20.25,19.69,18.89,0,-0.032275,1,0,1
117801,20190125,12497K10,VIX,9999,1,32768,,A,,17.31,18.46,18.43,17.42,0,-0.077819,1,0,1
