date,days,rate
19960104,11,5.72946
19960104,13,5.726104
19960104,48,5.664931
19960104,76,5.601891
19960104,167,5.468961
19960104,258,5.34509
19960104,349,5.264934
19960104,440,5.234497
19960104,531,5.219638
19960104,622,5.22377
19960104,713,5.239618
19960104,804,5.269992
19960104,895,5.299274
19960104,986,5.331455
19960104,1077,5.364955
19960104,1168,5.402578
19960104,1259,5.436207
19960104,1350,5.470017
19960104,1441,5.503341
19960104,1532,5.538639
19960104,1630,5.57263
19960104,1721,5.604084
19960104,1812,5.634383
19960104,1903,5.666081
19960104,1994,5.694886
19960104,2085,5.723354
19960104,2176,5.751111
19960104,2267,5.779442
19960104,2358,5.805587
19960104,2449,5.831643
19960104,2540,5.857618
19960104,2631,5.884212
19960104,2722,5.909027
19960104,2813,5.933527
19960104,2904,5.958054
19960104,2995,5.982908
19960104,3086,6.006002
19960104,3177,6.028916
19960104,3268,6.051386
19960104,3359,6.074798
19960104,3450,6.096713
19960104,3548,6.120305
19960104,3639,6.142435
19960105,11,5.72946
19960105,12,5.727855
19960105,47,5.664076
19960105,75,5.608054
19960105,166,5.481913
19960105,257,5.352974
19960105,348,5.273144
19960105,439,5.243011
19960105,530,5.231818
19960105,621,5.240037
19960105,712,5.258942
19960105,803,5.291698
19960105,894,5.323891
19960105,985,5.359372
19960105,1076,5.395614
19960105,1167,5.435553
19960105,1258,5.47116
19960105,1349,5.50668
19960105,1440,5.542128
19960105,1531,5.579298
19960105,1629,5.615664
19960105,1720,5.649085
19960105,1811,5.681654
19960105,1902,5.715404
19960105,1993,5.746072
19960105,2084,5.776241
19960105,2175,5.805554
19960105,2266,5.835318
19960105,2357,5.862783
19960105,2448,5.890431
19960105,2539,5.917527
19960105,2630,5.945162
19960105,2721,5.971283
19960105,2812,5.997327
19960105,2903,6.0233
19960105,2994,6.049814
19960105,3085,6.074471
19960105,3176,6.098856
19960105,3267,6.122716
19960105,3358,6.147443
19960105,3449,6.170602
19960105,3547,6.195458
19960105,3638,6.218705
19960108,9,5.698918
19960108,35,5.687564
19960108,44,5.683618
19960108,72,5.617662
19960108,163,5.48942
19960108,254,5.359855
19960108,345,5.277515
19960108,436,5.248352
19960108,527,5.236173
19960108,618,5.243791
19960108,709,5.262294
19960108,800,5.294791
19960108,891,5.326777
19960108,982,5.362099
19960108,1073,5.398211
19960108,1164,5.43805
19960108,1255,5.473561
19960108,1346,5.508998
19960108,1437,5.544373
19960108,1528,5.581482
19960108,1626,5.617784
19960108,1717,5.65115
19960108,1808,5.68367
19960108,1899,5.717377
19960108,1990,5.748001
19960108,2081,5.778128
19960108,2172,5.807403
19960108,2263,5.837132
19960108,2354,5.864562
19960108,2445,5.892178
19960108,2536,5.919243
19960108,2627,5.946851
19960108,2718,5.972944
19960108,2809,5.998961
19960108,2900,6.02491
19960108,2991,6.051402
19960108,3082,6.076036
19960108,3173,6.1004
19960108,3264,6.124238
19960108,3355,6.148946
19960108,3446,6.172086
19960108,3544,6.196922
19960108,3635,6.220151
19960109,9,5.730387
19960109,34,5.687967
19960109,43,5.684059
19960109,71,5.613018
19960109,162,5.486594
19960109,253,5.350332
19960109,344,5.267624
19960109,435,5.238368
19960109,526,5.226162
19960109,617,5.233793
19960109,708,5.253608
19960109,799,5.287134
19960109,890,5.319939
19960109,981,5.355931
19960109,1072,5.3926
19960109,1163,5.432913
19960109,1254,5.46955
19960109,1345,5.50596
19960109,1436,5.542186
19960109,1527,5.580044
19960109,1625,5.617057
19960109,1716,5.65101
19960109,1807,5.684057
19960109,1898,5.718242
19960109,1989,5.749298
19960109,2080,5.77982
19960109,2171,5.809456
19960109,2262,5.839918
19960109,2353,5.868023
19960109,2444,5.896264
19960109,2535,5.923909
19960109,2626,5.952057
19960109,2717,5.978653
19960109,2808,6.005141
19960109,2899,6.03153
19960109,2990,6.058436
19960109,3081,6.083459
19960109,3172,6.108189
19960109,3263,6.132374
19960109,3354,6.157409
19960109,3445,6.180858
19960109,3543,6.206009
