date,days,rate
20190102,7,2.447779
20190102,14,2.4744
20190102,49,2.699491
20190102,77,2.721466
20190102,105,2.727674
20190102,133,2.729138
20190102,168,2.729079
20190102,259,2.728769
20190102,350,2.723385
20190102,441,2.718144
20190102,532,2.697468
20190102,623,2.673266
20190102,714,2.650097
20190102,805,2.633876
20190102,896,2.617367
20190102,987,2.602973
20190102,1078,2.591435
20190102,1169,2.584831
20190102,1260,2.580273
20190102,1358,2.577093
20190102,1449,2.575829
20190102,1533,2.576487
20190102,1631,2.578906
20190102,1722,2.582804
20190102,1813,2.58808
20190102,1904,2.594777
20190102,1995,2.602011
20190102,2086,2.610152
20190102,2177,2.619085
20190102,2268,2.629119
20190102,2359,2.639155
20190102,2450,2.64938
20190102,2541,2.659775
20190102,2632,2.670146
20190102,2723,2.679992
20190102,2814,2.68969
20190102,2905,2.699253
20190102,2996,2.708846
20190102,3087,2.718171
20190102,3178,2.727249
20190102,3269,2.735963
20190102,3360,2.748291
20190102,3458,2.761099
20190102,3549,2.773674
20190102,3640,2.785745
20190103,7,2.445914
20190103,13,2.470869
20190103,48,2.692164
20190103,76,2.704083
20190103,104,2.701412
20190103,132,2.693434
20190103,167,2.682843
20190103,258,2.665095
20190103,349,2.638217
20190103,440,2.617247
20190103,531,2.582742
20190103,622,2.548748
20190103,713,2.517642
20190103,804,2.494719
20190103,895,2.473383
20190103,986,2.455519
20190103,1077,2.441526
20190103,1168,2.433247
20190103,1259,2.427623
20190103,1357,2.423826
20190103,1448,2.422062
20190103,1532,2.422584
20190103,1630,2.425177
20190103,1721,2.429482
20190103,1812,2.435126
20190103,1903,2.442397
20190103,1994,2.450384
20190103,2085,2.459213
20190103,2176,2.468988
20190103,2267,2.479797
20190103,2358,2.490938
20190103,2449,2.502186
20190103,2540,2.513711
20190103,2631,2.525134
20190103,2722,2.535962
20190103,2813,2.546578
20190103,2904,2.55716
20190103,2995,2.56771
20190103,3086,2.577935
20190103,3177,2.587862
20190103,3268,2.597377
20190103,3359,2.610466
20190103,3457,2.62405
20190103,3548,2.637305
20190103,3639,2.650023
20190104,7,2.442804
20190104,12,2.465595
20190104,47,2.721884
20190104,75,2.737975
20190104,103,2.738442
20190104,131,2.735465
20190104,166,2.729808
20190104,257,2.723889
20190104,348,2.709216
20190104,439,2.69645
20190104,530,2.669043
20190104,621,2.640808
20190104,712,2.615284
20190104,803,2.597257
20190104,894,2.579823
20190104,985,2.565611
20190104,1076,2.554654
20190104,1167,2.549335
20190104,1258,2.546244
20190104,1356,2.544791
20190104,1447,2.544923
20190104,1531,2.547001
20190104,1629,2.550895
20190104,1720,2.556013
20190104,1811,2.562135
20190104,1902,2.569598
20190104,1993,2.57753
20190104,2084,2.586307
20190104,2175,2.595614
20190104,2266,2.605993
20190104,2357,2.616736
20190104,2448,2.627616
20190104,2539,2.638799
20190104,2630,2.649904
20190104,2721,2.660435
20190104,2812,2.670772
20190104,2903,2.681092
20190104,2994,2.691397
20190104,3085,2.701391
20190104,3176,2.7111
20190104,3267,2.720408
20190104,3358,2.730439
20190104,3456,2.74091
20190104,3547,2.750526
20190104,3638,2.759787
20190107,7,2.437829
20190107,9,2.446739
20190107,44,2.731476
20190107,72,2.742538
20190107,100,2.740323
20190107,128,2.736865
20190107,163,2.732973
20190107,254,2.725851
20190107,345,2.714517
20190107,436,2.705811
20190107,527,2.68359
20190107,618,2.661236
20190107,709,2.640741
20190107,800,2.626628
20190107,891,2.612311
20190107,982,2.60018
20190107,1073,2.590534
20190107,1164,2.585941
20190107,1255,2.58311
20190107,1353,2.581536
20190107,1444,2.581258
20190107,1528,2.583005
20190107,1626,2.586253
20190107,1717,2.59084
20190107,1808,2.596487
20190107,1899,2.603522
20190107,1990,2.611065
20190107,2081,2.61949
20190107,2172,2.628896
20190107,2263,2.639569
20190107,2354,2.650196
20190107,2445,2.660968
20190107,2536,2.67205
20190107,2627,2.683236
20190107,2718,2.693842
20190107,2809,2.704249
20190107,2900,2.714635
20190107,2991,2.725001
20190107,3082,2.735052
20190107,3173,2.744815
20190107,3264,2.754174
20190107,3355,2.764253
20190107,3453,2.774772
20190107,3544,2.784431
20190107,3635,2.793732
20190108,7,2.441561
20190108,8,2.446052
20190108,43,2.729744
20190108,71,2.739651
20190108,99,2.741092
20190108,127,2.740783
20190108,162,2.741483
20190108,253,2.747573
20190108,344,2.746443
20190108,435,2.74368
20190108,526,2.728806
20190108,617,2.712376
20190108,708,2.696934
20190108,799,2.686156
20190108,890,2.673463
20190108,981,2.662189
20190108,1072,2.653258
20190108,1163,2.648877
20190108,1254,2.645862
20190108,1352,2.644118
20190108,1443,2.643704
20190108,1527,2.645066
20190108,1625,2.647609
20190108,1716,2.651349
20190108,1807,2.655979
20190108,1898,2.662097
20190108,1989,2.668807
20190108,2080,2.676251
20190108,2171,2.684548
20190108,2262,2.693999
20190108,2353,2.703693
20190108,2444,2.713602
20190108,2535,2.723883
20190108,2626,2.734323
20190108,2717,2.744233
20190108,2808,2.753989
20190108,2899,2.763765
20190108,2990,2.773558
20190108,3081,2.783069
20190108,3172,2.792324
20190108,3263,2.801202
20190108,3354,2.810827
20190108,3452,2.820884
20190108,3543,2.830136
20190108,3634,2.83905
20190109,7,2.447157
20190109,31,2.550915
20190109,42,2.603189
20190109,70,2.665882
20190109,98,2.68697
20190109,126,2.698686
20190109,161,2.708542
20190109,252,2.722914
20190109,343,2.724316
20190109,434,2.724075
20190109,525,2.709951
20190109,616,2.694048
20190109,707,2.678349
20190109,798,2.666806
20190109,889,2.653501
20190109,980,2.641731
