secid,date,cusip,ticker,sic,index_flag,exchange_d,class,issue_type,industry_group,low,high,open,close,volume,return,cfadj,shrout,cfret
108105,19960104,64881510,SPX,9999,1,32768,,A,,613.96,624.49,621.32,617.7,0,-0.005826,1,0,1
108105,19960105,64881510,SPX,9999,1,32768,,A,,612.02,617.7,617.7,616.71,0,-0.001603,1,0,1
108105,19960108,64881510,SPX,9999,1,32768,,A,,616.49,618.46,616.71,618.46,0,0.002838,1,0,1
108105,19960109,64881510,SPX,9999,1,32768,,A,,608.21,619.15,618.46,609.45,0,-0.014568,1,0,1
108105,19960110,64881510,SPX,9999,1,32768,,A,,597.29,609.45,609.45,598.48,0,-0.018,1,0,1
108105,19960111,64881510,SPX,9999,1,32768,,A,,597.54,602.71,598.48,602.69,0,0.007035,1,0,1
108105,19960112,64881510,SPX,9999,1,32768,,A,,597.46,604.8,602.69,601.81,0,-0.00146,1,0,1
108105,19960115,64881510,SPX,9999,1,32768,,A,,598.47,603.43,601.81,599.82,0,-0.003307,1,0,1
108105,19960116,64881510,SPX,9999,1,32768,,A,,599.05,608.44,599.82,608.44,0,0.014371,1,0,1
108105,19960117,64881510,SPX,9999,1,32768,,A,,604.7,609.93,608.44,606.37,0,-0.003402,1,0,1
108105,19960118,64881510,SPX,9999,1,32768,,A,,604.12,608.27,606.37,608.24,0,0.003084,1,0,1
108105,19960119,64881510,SPX,9999,1,32768,,A,,606.76,612.92,608.24,611.83,0,0.005902,1,0,1
108105,19960122,64881510,SPX,9999,1,32768,,A,,610.95,613.45,611.83,613.4,0,0.002566,1,0,1
108105,19960123,64881510,SPX,9999,1,32768,,A,,610.65,613.4,613.4,612.79,0,-0.000995,1,0,1
108105,19960124,64881510,SPX,9999,1,32768,,A,,612.79,619.96,612.79,619.96,0,0.011701,1,0,1
108105,19960125,64881510,SPX,9999,1,32768,,A,,616.62,620.15,619.96,617.03,0,-0.004726,1,0,1
108105,19960126,64881510,SPX,9999,1,32768,,A,,615.26,621.7,617.03,621.62,0,0.007439,1,0,1
108105,19960129,64881510,SPX,9999,1,32768,,A,,621.42,624.22,621.62,624.22,0,0.004183,1,0,1
108105,19960130,64881510,SPX,9999,1,32768,,A,,624.22,630.29,624.22,630.15,0,0.0095,1,0,1
108105,19960131,64881510,SPX,9999,1,32768,,A,,629.48,636.18,630.15,636.02,0,0.009315,1,0,1
108105,19960201,64881510,SPX,9999,1,32768,,A,,634.54,638.46,636.02,638.46,0,0.003836,1,0,1
108105,19960202,64881510,SPX,9999,1,32768,,A,,634.29,639.26,638.46,635.84,0,-0.004104,1,0,1
108105,19960205,64881510,SPX,9999,1,32768,,A,,633.71,641.43,635.84,641.43,0,0.008791,1,0,1
108105,19960206,64881510,SPX,9999,1,32768,,A,,639.68,646.67,641.43,646.33,0,0.007639,1,0,1
108105,19960207,64881510,SPX,9999,1,32768,,A,,645.59,649.93,646.33,649.93,0,0.00557,1,0,1
108105,19960208,64881510,SPX,9999,1,32768,,A,,647.93,656.54,649.93,656.07,0,0.009447,1,0,1
108105,19960209,64881510,SPX,9999,1,32768,,A,,653.64,661.08,656.07,656.37,0,0.000457,1,0,1
108105,19960212,64881510,SPX,9999,1,32768,,A,,656.34,662.95,656.37,661.45,0,0.00774,1,0,1
