secid,date,cusip,ticker,sic,index_flag,exchange_d,class,issue_type,industry_group,low,high,open,close,volume,return,cfadj,shrout,cfret
108105,20190102,64881510,SPX,9999,1,32768,,A,,2467.47,2519.49,2476.96,2510.03,0,0.001268,1,0,1
108105,20190103,64881510,SPX,9999,1,32768,,A,,2443.96,2493.14,2491.92,2447.89,0,-0.024757,1,0,1
108105,20190104,64881510,SPX,9999,1,32768,,A,,2474.33,2538.07,2474.33,2531.94,0,0.034336,1,0,1
108105,20190107,64881510,SPX,9999,1,32768,,A,,2524.56,2566.16,2535.61,2549.69,0,0.00701,1,0,1
108105,20190108,64881510,SPX,9999,1,32768,,A,,2547.56,2579.82,2568.11,2574.41,0,0.009695,1,0,1
108105,20190109,64881510,SPX,9999,1,32768,,A,,2568.89,2595.32,2580,2584.96,0,0.004098,1,0,1
108105,20190110,64881510,SPX,9999,1,32768,,A,,2562.02,2597.82,2573.51,2596.64,0,0.004518,1,0,1
108105,20190111,64881510,SPX,9999,1,32768,,A,,2577.4,2596.27,2588.11,2596.26,0,-0.000146,1,0,1
108105,20190114,64881510,SPX,9999,1,32768,,A,,2570.41,2589.32,2580.31,2582.61,0,-0.005258,1,0,1
108105,20190115,64881510,SPX,9999,1,32768,,A,,2585.1,2613.08,2585.1,2610.3,0,0.010722,1,0,1
108105,20190116,64881510,SPX,9999,1,32768,,A,,2612.68,2625.76,2614.75,2616.1,0,0.002222,1,0,1
108105,20190117,64881510,SPX,9999,1,32768,,A,,2606.36,2645.06,2609.28,2635.96,0,0.007591,1,0,1
108105,20190118,64881510,SPX,9999,1,32768,,A,,2647.58,2675.47,2651.27,2670.71,0,0.013183,1,0,1
108105,20190122,64881510,SPX,9999,1,32768,,A,,2617.27,2657.88,2657.88,2632.9,0,-0.014157,1,0,1
108105,20190123,64881510,SPX,9999,1,32768,,A,,2612.86,2653.19,2643.48,2638.7,0,0.002203,1,0,1
108105,20190124,64881510,SPX,9999,1,32768,,A,,2627.01,2647.2,2638.84,2642.33,0,0.001376,1,0,1
108105,20190125,64881510,SPX,9999,1,32768,,A,,2657.33,2672.38,2657.44,2664.76,0,0.008489,1,0,1
108105,20190128,64881510,SPX,9999,1,32768,,A,,2624.06,2644.97,2644.97,2643.85,0,-0.007847,1,0,1
108105,20190129,64881510,SPX,9999,1,32768,,A,,2631.05,2650.93,2644.89,2640,0,-0.001456,1,0,1
108105,20190130,64881510,SPX,9999,1,32768,,A,,2648.34,2690.44,2653.62,2681.05,0,0.015549,1,0,1
108105,20190131,64881510,SPX,9999,1,32768,,A,,2678.65,2708.95,2685.49,2704.1,0,0.008597,1,0,1
108105,20190201,64881510,SPX,9999,1,32768,,A,,2696.88,2716.66,2702.32,2706.53,0,0.000899,1,0,1
108105,20190204,64881510,SPX,9999,1,32768,,A,,2698.75,2724.99,2706.49,2724.87,0,0.006776,1,0,1
108105,20190205,64881510,SPX,9999,1,32768,,A,,2724.03,2738.98,2728.34,2737.7,0,0.004708,1,0,1
108105,20190206,64881510,SPX,9999,1,32768,,A,,2724.15,2738.08,2735.05,2731.61,0,-0.002224,1,0,1
108105,20190207,64881510,SPX,9999,1,32768,,A,,2687.26,2719.32,2717.53,2706.05,0,-0.009357,1,0,1
108105,20190208,64881510,SPX,9999,1,32768,,A,,2681.83,2708.07,2692.36,2707.88,0,0.000676,1,0,1
108105,20190211,64881510,SPX,9999,1,32768,,A,,2703.79,2718.05,2712.4,2709.8,0,0.000709,1,0,1
108105,20190212,64881510,SPX,9999,1,32768,,A,,2722.61,2748.19,2722.61,2744.73,0,0.01289,1,0,1
108105,20190213,64881510,SPX,9999,1,32768,,A,,2748.63,2761.85,2750.3,2753.03,0,0.003024,1,0,1
108105,20190214,64881510,SPX,9999,1,32768,,A,,2731.23,2757.9,2743.5,2745.73,0,-0.002652,1,0,1
108105,20190215,64881510,SPX,9999,1,32768,,A,,2760.24,2775.66,2760.24,2775.6,0,0.010879,1,0,1
108105,20190219,64881510,SPX,9999,1,32768,,A,,2767.29,2787.33,2769.28,2779.76,0,0.001499,1,0,1
108105,20190220,64881510,SPX,9999,1,32768,,A,,2774.06,2789.88,2779.05,2784.7,0,0.001777,1,0,1
108105,20190221,64881510,SPX,9999,1,32768,,A,,2764.55,2781.58,2780.24,2774.88,0,-0.003526,1,0,1
108105,20190222,64881510,SPX,9999,1,32768,,A,,2779.11,2794.2,2780.67,2792.67,0,0.006411,1,0,1
108105,20190225,64881510,SPX,9999,1,32768,,A,,2794.99,2813.49,2804.35,2796.11,0,0.001232,1,0,1
108105,20190226,64881510,SPX,9999,1,32768,,A,,2789.47,2803.12,2792.36,2793.9,0,-0.00079,1,0,1
108105,20190227,64881510,SPX,9999,1,32768,,A,,2775.13,2795.76,2787.5,2792.38,0,-0.000544,1,0,1
108105,20190228,64881510,SPX,9999,1,32768,,A,,2782.51,2793.73,2788.11,2784.49,0,-0.002826,1,0,1
108105,20190301,64881510,SPX,9999,1,32768,,A,,2787.38,2808.02,2798.22,2803.69,0,0.006895,1,0,1
108105,20190304,64881510,SPX,9999,1,32768,,A,,2767.66,2816.88,2814.37,2792.81,0,-0.003881,1,0,1
108105,20190305,64881510,SPX,9999,1,32768,,A,,2782.97,2796.44,2794.41,2789.65,0,-0.001132,1,0,1
108105,20190306,64881510,SPX,9999,1,32768,,A,,2768.69,2790.27,2790.27,2771.45,0,-0.006524,1,0,1
108105,20190307,64881510,SPX,9999,1,32768,,A,,2739.09,2767.25,2766.53,2748.93,0,-0.008126,1,0,1
108105,20190308,64881510,SPX,9999,1,32768,,A,,2722.27,2744.13,2730.79,2743.07,0,-0.002132,1,0,1
108105,20190311,64881510,SPX,9999,1,32768,,A,,2747.61,2784,2747.61,2783.3,0,0.014666,1,0,1
108105,20190312,64881510,SPX,9999,1,32768,,A,,2786.73,2798.32,2787.34,2791.52,0,0.002953,1,0,1
108105,20190313,64881510,SPX,9999,1,32768,,A,,2799.78,2821.24,2799.78,2810.92,0,0.00695,1,0,1
108105,20190314,64881510,SPX,9999,1,32768,,A,,2803.46,2815,2810.38,2808.48,0,-0.000868,1,0,1
